type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	9.82441	-11.8847	-2.72509	1.50225	-0.43133	-0.186659	-2.71869	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.391655
R	9.79864	-12.0185	-2.72086	1.46655	-0.449529	-0.283123	-2.70609	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.387972
L	9.75401	-12.158	-2.72345	1.42536	-0.466361	-0.394696	-2.6947	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.579158
R	9.6829	-12.2908	-2.71439	1.34569	-0.543627	-0.605881	-2.6459	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.13563
L	9.63068	-12.4162	-2.70959	1.30591	-0.555672	-0.709365	-2.61509	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.599784
R	9.50672	-12.5324	-2.69583	1.1834	-0.683634	-1.01843	-2.49606	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.0567
L	9.43628	-12.6454	-2.6884	1.1379	-0.694892	-1.12779	-2.4404	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.760368
R	9.35061	-12.7727	-2.68676	1.07567	-0.727475	-1.27659	-2.3641	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.825099
L	9.26798	-12.8847	-2.67525	1.02778	-0.736505	-1.38236	-2.29042	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.882926
R	9.08881	-12.9676	-2.67813	0.86091	-0.915409	-1.74547	-2.03119	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	25.4705
L	8.96865	-13.054	-2.67569	0.794722	-0.93377	-1.87427	-1.90955	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.41229
R	8.81357	-13.1337	-2.68075	0.683953	-1.0137	-2.0778	-1.69386	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.68252
L	8.69025	-13.2007	-2.66638	0.618352	-1.02564	-2.17266	-1.54568	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.30232
R	8.53413	-13.2492	-2.6775	0.505551	-1.11031	-2.34257	-1.29669	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.40292
L	8.40422	-13.2903	-2.66841	0.43735	-1.12346	-2.41725	-1.13018	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.0463
R	8.21692	-13.3075	-2.68793	0.297188	-1.23164	-2.5701	-0.787112	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.32367
L	8.06617	-13.3188	-2.67593	0.214102	-1.24824	-2.61483	-0.568555	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.50086
R	7.90254	-13.3219	-2.68255	0.115319	-1.28737	-2.66473	-0.308663	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.85621
L	7.75551	-13.309	-2.67015	0.031689	-1.30237	-2.66881	-0.0846	7.76538	-13.1647	7.75	-13.15	-2.72986	0	1.08754
R	7.65256	-13.3468	-2.64033	0.0273599	-1.21687	-2.63934	-0.0722301	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.69996
L	7.51033	-13.3315	-2.64127	-0.0447361	-1.22626	-2.63863	0.118121	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.537825
R	7.3623	-13.3131	-2.63937	-0.115068	-1.22657	-2.62192	0.303037	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.820386
